Case,X,Y,Z,modeSelected
1,-0.1767767,0.9232234,0.537,Tap
2,0.09567086,1.33097,0.537,Tap
2,-0.01982215,0.955097,0.5162282,Tap
3,2.98122E-09,0.85,0.537,Tap
3,-0.05220798,1.223658,0.4992398,Tap
4,-0.09567085,1.33097,0.537,Tap
5,0.1767767,0.9232233,0.537,Tap
5,0.1767767,0.9232233,0.537,Tap
5,0.0120346,1.052443,0.5696412,Tap
6,-0.2309699,1.195671,0.537,Tap
6,-0.2309699,1.195671,0.537,Tap
6,-0.1407425,1.160795,0.4403734,Tap
7,0.25,1.1,0.537,Tap
8,-0.2309699,1.004329,0.537,Tap
9,0.1767767,1.276777,0.537,Tap
9,0.1767767,1.276777,0.537,Tap
10,-0.09567089,0.8690301,0.537,Tap
10,-0.04575506,0.9980557,0.5279013,Tap
10,0.008552849,1.213364,0.4937329,Tap
11,-1.092785E-08,1.35,0.537,Tap
11,-1.092785E-08,1.35,0.537,Tap
12,0.0956709,0.8690302,0.537,Tap
13,-0.1767767,1.276777,0.537,Tap
14,0.2309699,1.004329,0.537,Tap
15,-0.25,1.1,0.537,Tap
16,-0.2474874,0.8525127,0.537,Tap
17,0.1339392,1.423358,0.537,Tap
18,4.173708E-09,0.75,0.537,Tap
19,-0.1339392,1.423358,0.537,Tap
20,0.2474873,0.8525126,0.537,Tap
21,-0.3233578,1.233939,0.537,Tap
21,-0.3233578,1.233939,0.537,Tap
22,0.35,1.1,0.537,Tap
22,0.35,1.1,0.537,Tap
22,-0.1264564,0.9823389,0.5289991,Tap
23,-0.3233578,0.9660608,0.537,Tap
24,0.2474874,1.347487,0.537,Tap
25,-0.1339393,0.7766422,0.537,Tap
25,-0.1339393,0.7766422,0.537,Tap
25,0.04273164,1.27509,0.5422294,Tap
26,-1.529899E-08,1.45,0.537,Tap
27,0.1339393,0.7766422,0.537,Tap
27,0.1339393,0.7766422,0.537,Tap
27,-0.1502496,1.19905,0.5367783,Tap
28,-0.2474874,1.347487,0.537,Tap
29,0.3233579,0.9660608,0.537,Tap
30,-0.35,1.1,0.537,Tap
31,-0.2121321,0.887868,0.537,Tap
31,-0.2121321,0.887868,0.537,Tap
32,0.114805,1.377164,0.537,Tap
33,3.577464E-09,0.8,0.537,Tap
34,-0.114805,1.377164,0.537,Tap
34,-0.006830394,1.173457,0.491051,Tap
34,0.06112123,1.04604,0.5245457,Tap
35,0.212132,0.8878679,0.537,Tap
35,-0.09754995,1.06045,0.4376798,Tap
36,-0.2771639,1.214805,0.537,Tap
36,-0.2771639,1.214805,0.537,Tap
37,0.3,1.1,0.537,Tap
38,-0.2771639,0.985195,0.537,Tap
38,-0.1314842,1.051242,0.5325063,Tap
39,0.212132,1.312132,0.537,Tap
40,-0.1148051,0.8228362,0.537,Tap
40,-0.07329944,0.9552145,0.5254551,Tap
41,-1.311342E-08,1.4,0.537,Tap
42,0.1148051,0.8228362,0.537,Tap
43,-0.212132,1.312132,0.537,Tap
43,-0.212132,1.312132,0.537,Tap
43,0.003381073,1.160922,0.4856335,Tap
44,0.2771639,0.985195,0.537,Tap
45,-0.3,1.1,0.537,Tap
45,-0.3,1.1,0.537,Tap
45,-0.3,1.1,0.537,Tap
